lr,batch_size,eff_batch,optimizer,params,train_loss,val_loss,val_bpb,train_min
0.0001,4,16,adamw,32987776,39.425771,15.21334,2.016977,3.92
0.0001,4,16,muon,32987776,46.554976,18.055584,2.36908,4.36
0.0001,8,32,adamw,32987776,35.929989,18.482239,2.015,6.41
0.0001,8,32,muon,32987776,42.371512,21.694199,2.368576,6.85
0.0001,16,64,adamw,32987776,41.953589,23.497015,2.015754,11.29
0.0001,16,64,muon,32987776,49.394307,27.687479,2.3679,11.74
0.0001,32,128,adamw,32987776,36.858156,30.806044,2.014577,21.1
0.0001,32,128,muon,32987776,43.434154,36.146595,2.366984,21.54
